N,Triton,Torch
1024.000000,390.095241,463.971686
1536.000000,466.632925,467.928580
2048.000000,534.260858,511.999982
2560.000000,614.976560,491.519977
3072.000000,646.382451,463.698105
3584.000000,677.291303,441.107691
4096.000000,695.803553,427.408686
4608.000000,718.129898,414.784821
5120.000000,735.808359,420.821901
5632.000000,746.784548,404.694597
6144.000000,760.082502,389.740819
6656.000000,761.138783,387.463652
7168.000000,774.918911,387.459455
7680.000000,784.340427,387.226902
8192.000000,789.590348,378.024137
8704.000000,803.446152,376.389205
9216.000000,804.305459,373.759747
9728.000000,816.335679,371.179641
10240.000000,821.939781,360.624569
10752.000000,819.199969,358.773720
11264.000000,824.195135,356.173905
11776.000000,828.809369,351.085706
12288.000000,835.444735,338.201833
12800.000000,835.066243,346.726865
13312.000000,840.619639,344.647243
13824.000000,843.878222,344.165973
14336.000000,847.448262,341.333336
14848.000000,848.457150,336.846502
15360.000000,848.728663,338.823523
15872.000000,852.187922,337.720852
